Drug Name,ATC 1st Level
Oral nitrofurantoin monohydrate/macrocrystals,J - Antiinfectives for systemic use
Oral lumbrokinase DLBS1033,
Usual Care Group,
Tecvayli,L - Antineoplastic and immunomodulating agents
ketamine,N - Nervous system
activated charcoal,A - Alimentary tract and metabolism
Drug：HS-10510；,A - Alimentary tract and metabolism
Usual Care,
Teclistamab (Tec),L - Antineoplastic and immunomodulating agents
ketamin,N - Nervous system
acrylic acid,
Drug： Rosuvastatin,C - Cardiovascular system
"(Daunorubicin, Cytarabine)",L - Antineoplastic and immunomodulating agents
Ustekinumab (UST),L - Antineoplastic and immunomodulating agents
Tecfidera,L - Antineoplastic and immunomodulating agents
karaya gum extract,
acrylamide,
Drugs Nivolumab,L - Antineoplastic and immunomodulating agents
Use of intracameral cefazolin in cataract surgery,J - Antiinfectives for systemic use
Tecentriq,L - Antineoplastic and immunomodulating agents
kaolin,A - Alimentary tract and metabolism
acoramidis hydrochloride,C - Cardiovascular system
Drug:10 mg BGM0504 Administered SC,
Urtica dioica leaf extract,
Tecelra,
"""drug holidays"" (D)",
kanamycin,S - Sensory organs
kanamycin,J - Antiinfectives for systemic use
kanamycin,A - Alimentary tract and metabolism
acoramidis,C - Cardiovascular system
"Drug: Tislelizumab, Cetuximab, Cisplatin and Nab-paclitaxel",
Ursodeoxycholic acid (UDCA),A - Alimentary tract and metabolism
Tecartus,L - Antineoplastic and immunomodulating agents
juniper berry oil,
aconitic acid,
Drug: Semaglutide Administered SC,A - Alimentary tract and metabolism
Ursodeoxycholic Acid (URSO),A - Alimentary tract and metabolism
Tebapivat,
jojoba wax,
acoltremon,
Drug: NW-301D,
Ursodeoxycholic Acid,A - Alimentary tract and metabolism
Tear Substitute Treatment (Supportive Therapy),
jasmone,
aclidinium bromide,R - Respiratory system
Drug: LW402,
Urso,A - Alimentary tract and metabolism
Tea Tree Oil Topical Application Oil,
ixekizumab,L - Antineoplastic and immunomodulating agents
aclidinium,R - Respiratory system
Drug: CT041 autologous CAR T-cell injection,L - Antineoplastic and immunomodulating agents
Urokinase,B - Blood and blood forming organs
Tdcp,
ixazomib citrate,L - Antineoplastic and immunomodulating agents
acitretin,D - Dermatologicals
Drug: Bionetide,
Urodynamic evaluation before and after solifenacin treatment.,
Tazocin (pipercillin/tazobactam),J - Antiinfectives for systemic use
ixazomib 4 MG,L - Antineoplastic and immunomodulating agents
acetyltributyl citrate,
Drug: AK129 Drug：oxaliplatin Drug：capecitabine,L - Antineoplastic and immunomodulating agents
Urodynamic evaluation before and after mirabegron treatment.,G - Genito urinary system and sex hormones
Taxotere (docetaxel),
ixazomib 3 MG,L - Antineoplastic and immunomodulating agents
acetylglucosamine,
Drug: AK129 Drug：cadonilimab Drug：oxaliplatin Drug：capecitabine,L - Antineoplastic and immunomodulating agents
Urodynamic evaluation before and after combined treatment with solifenacin and mirabegron.,
Taxol,
ixazomib,L - Antineoplastic and immunomodulating agents
acetylcysteine 600 MG,S - Sensory organs
acetylcysteine 600 MG,V - Various
acetylcysteine 600 MG,R - Respiratory system
Drug treatment,
Urodynamic evaluation before and after Botulinum toxin (Botox) injection.,M - Musculo-skeletal system
Taurine granule,B - Blood and blood forming organs
ixabepilone,L - Antineoplastic and immunomodulating agents
acetylcysteine,S - Sensory organs
acetylcysteine,V - Various
acetylcysteine,R - Respiratory system
Drug therapy,
Urine test,
Tasipimidine,
ivosidenib,L - Antineoplastic and immunomodulating agents
acetylcholine,S - Sensory organs
Drug administration according to protocol (paracetamol + ibuprofen OR paracetamol + metamizol),
Uplizna,L - Antineoplastic and immunomodulating agents
Tarpeyo,D - Dermatologicals
Tarpeyo,A - Alimentary tract and metabolism
Tarpeyo,R - Respiratory system
ivermectin,D - Dermatologicals
ivermectin,"P - Antiparasitic products, insecticides and repellents"
acetylcellulose,
Drug Treatment,
Unloxcyt,
Targretin,L - Antineoplastic and immunomodulating agents
ivacaftor Oral Granules,R - Respiratory system
acetylcarnitine,N - Nervous system
Drug (famciclovir and gabapentin),S - Sensory organs
Drug (famciclovir and gabapentin),J - Antiinfectives for systemic use
Universal CAR-T cells injection for treating HCC and NSCLC,
Targeted Therapy (anti-VEGF),L - Antineoplastic and immunomodulating agents
Targeted Therapy (anti-VEGF),S - Sensory organs
ivacaftor 150 MG,R - Respiratory system
acetyl hexapeptide-8,
Drug,
Universal CAR-T (CHT101),
Targeted Therapy (anti-EGFR),
ivacaftor / tezacaftor,R - Respiratory system
.BETA.-D-GLUCOPYRANOSE,V - Various
.BETA.-D-GLUCOPYRANOSE,B - Blood and blood forming organs
acetone,
Droxidopa capsules,C - Cardiovascular system
Unisom,R - Respiratory system
Targeted Systemic Therapy,
ivacaftor / lumacaftor,R - Respiratory system
acetoin,
Drospirenone drug,G - Genito urinary system and sex hormones
Undaria pinnatifida extract,
Tarceva,L - Antineoplastic and immunomodulating agents
ivacaftor,R - Respiratory system
acetohydroxamic acid,G - Genito urinary system and sex hormones
Dronabinol Capsules,A - Alimentary tract and metabolism
"Uncultured, autologous, adipose-derived regenerative cells (UA-ADRCs)",
Taraxacum mongolicum extract,
ivabradine 5 MG,C - Cardiovascular system
acetic acid,S - Sensory organs
acetic acid,V - Various
acetic acid,G - Genito urinary system and sex hormones
acetic acid,D - Dermatologicals
Dragon,M - Musculo-skeletal system
Unbuffered lidocaine,
Tanzeum,A - Alimentary tract and metabolism
ivabradine,C - Cardiovascular system
acetazolamide 500 MG,S - Sensory organs
Doxylamine Succinate USP,N - Nervous system
Doxylamine Succinate USP,R - Respiratory system
Unasyn,S - Sensory organs
Unasyn,J - Antiinfectives for systemic use
Tanshinone capsules,
itraconazole Oral Solution,J - Antiinfectives for systemic use
acetazolamide 250 MG,S - Sensory organs
Doxycycline hyclate delayed released,J - Antiinfectives for systemic use
Umbilical cord mesenchymal stem cell-derived exosomes,
Tanruprubart,
itraconazole (Part,J - Antiinfectives for systemic use
acetazolamide,S - Sensory organs
Doxycycline Hyclate,J - Antiinfectives for systemic use
Doxycycline Hyclate,A - Alimentary tract and metabolism
Umbilical Cord Wharton's Jelly Allograft Intra-articular Knee Injection,
Tangshen'an Granules,
itraconazole,J - Antiinfectives for systemic use
acetanilide,
Doxycycline,N - Nervous system
Doxycycline,D - Dermatologicals
Doxycycline,A - Alimentary tract and metabolism
Doxycycline,J - Antiinfectives for systemic use
Umbilical Cord Blood Megakaryocyte Injection (XJ-MK-002),
Taneasy,
istradefylline 40 MG,N - Nervous system
acetaminophen Injection,N - Nervous system
Doxycyclin,N - Nervous system
Doxycyclin,D - Dermatologicals
Doxycyclin,A - Alimentary tract and metabolism
Doxycyclin,J - Antiinfectives for systemic use
Umbilical Cord Blood Infusion (Autologous and Allogeneic),
Tamiflu,J - Antiinfectives for systemic use
istradefylline 20 MG,N - Nervous system
acetaminophen 650 MG,N - Nervous system
acetaminophen 650 MG,R - Respiratory system
Doxy,J - Antiinfectives for systemic use
Doxy,A - Alimentary tract and metabolism
Ultrasound-guided botulinum toxin injection,
Talzenna,L - Antineoplastic and immunomodulating agents
istradefylline,N - Nervous system
acetaminophen 500 MG,N - Nervous system
acetaminophen 500 MG,R - Respiratory system
Doxorubicin,L - Antineoplastic and immunomodulating agents
Ultrasound-Guided Intra-articular Corticosteroid Injection,S - Sensory organs
Talvey,L - Antineoplastic and immunomodulating agents
isradipine,C - Cardiovascular system
acetaminophen 325 MG,N - Nervous system
acetaminophen 325 MG,R - Respiratory system
Doxil,L - Antineoplastic and immunomodulating agents
Ultrasound guided intralesional Steroids injection (Triamicinolone),S - Sensory organs
Ultrasound guided intralesional Steroids injection (Triamicinolone),D - Dermatologicals
Ultrasound guided intralesional Steroids injection (Triamicinolone),R - Respiratory system
Ultrasound guided intralesional Steroids injection (Triamicinolone),C - Cardiovascular system
Ultrasound guided intralesional Steroids injection (Triamicinolone),A - Alimentary tract and metabolism
Ultrasound guided intralesional Steroids injection (Triamicinolone),"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Talazoparib with enzalutamide,L - Antineoplastic and immunomodulating agents
ispaghula husk,
acetaminophen 300 MG,N - Nervous system
Dovato,J - Antiinfectives for systemic use
Ultrafractionated RT and CGA Guided systemic treatment.,
Take Action,G - Genito urinary system and sex hormones
isoxsuprine,C - Cardiovascular system
acetaminophen 1000 MG,N - Nervous system
Douche,
Ultra-Long GnRH Agonists + Letrozole,L - Antineoplastic and immunomodulating agents
Tagrisso,L - Antineoplastic and immunomodulating agents
(Sequential treatment) Chuanzhi Tongluo Capsules,
isotretinoin 20 MG,D - Dermatologicals
acetaminophen / pseudoephedrine,N - Nervous system
acetaminophen / pseudoephedrine,R - Respiratory system
Double dosing of beta-lactam antibiotic,
Ultra-Long GnRH Agonists,
Tafinlar,L - Antineoplastic and immunomodulating agents
isotretinoin 10 MG,D - Dermatologicals
acetaminophen / oxycodone,N - Nervous system
Double antibiotic paste of Metronidazole and Ciprofloxacin loaded chitosan-coated silver nanoparticles,
Ultra Rapid Lispro (URLi),A - Alimentary tract and metabolism
Tacrolimus (Tac),L - Antineoplastic and immunomodulating agents
Tacrolimus (Tac),D - Dermatologicals
isotretinoin,D - Dermatologicals
acetaminophen / melatonin,N - Nervous system
Double Umbilical Cord Transplant,
Ultomiris,L - Antineoplastic and immunomodulating agents
TachoSil,B - Blood and blood forming organs
isosorbide mononitrate,C - Cardiovascular system
acetaminophen / ibuprofen,G - Genito urinary system and sex hormones
acetaminophen / ibuprofen,R - Respiratory system
acetaminophen / ibuprofen,C - Cardiovascular system
acetaminophen / ibuprofen,N - Nervous system
acetaminophen / ibuprofen,M - Musculo-skeletal system
Dotinurad,
Ulixertinib,
Tabloid,L - Antineoplastic and immunomodulating agents
isosorbide dinitrate 10 MG,C - Cardiovascular system
acetaminophen / diphenhydramine,D - Dermatologicals
acetaminophen / diphenhydramine,N - Nervous system
acetaminophen / diphenhydramine,R - Respiratory system
Dose level,V - Various
Ubamatamab,
Tab Metformin +Tab Sitagliptin,A - Alimentary tract and metabolism
isosorbide dinitrate,C - Cardiovascular system
acetaminophen / codeine,N - Nervous system
acetaminophen / codeine,R - Respiratory system
Dose expansion (IPM514 combined with tislelizumab),L - Antineoplastic and immunomodulating agents
UX-DA001,
Tab Metformin + Tab Glimepiride,A - Alimentary tract and metabolism
isosorbide,C - Cardiovascular system
acetaminophen / caffeine,D - Dermatologicals
acetaminophen / caffeine,N - Nervous system
Dose expansion,
UTAA91 injection,
Tab Metformin + Tab Empagliflozin + Tab Sitagliptin,A - Alimentary tract and metabolism
isoproterenol hydrochloride,R - Respiratory system
isoproterenol hydrochloride,C - Cardiovascular system
acetaminophen / aspirin,B - Blood and blood forming organs
acetaminophen / aspirin,A - Alimentary tract and metabolism
acetaminophen / aspirin,N - Nervous system
Dose escalation(IPM514 monotherapy),V - Various
US-sourced YERVOY®,L - Antineoplastic and immunomodulating agents
Tab Metformin + Tab Empagliflozin,A - Alimentary tract and metabolism
isoproterenol Injection,R - Respiratory system
isoproterenol Injection,C - Cardiovascular system
acetaminophen,N - Nervous system
acetaminophen,R - Respiratory system
Dose,
US-Erbitux®,L - Antineoplastic and immunomodulating agents
TYPHIBEV,
isoproterenol,R - Respiratory system
isoproterenol,C - Cardiovascular system
acetaldehyde,
Dosage,
ULIPRISTAL ACETATE,G - Genito urinary system and sex hormones
TY-9591,
isopropyl palmitate,
acesulfame potassium,
Dorzagliatin,
UGN-104,
TX000045- Dose B,J - Antiinfectives for systemic use
TX000045- Dose B,G - Genito urinary system and sex hormones
TX000045- Dose B,A - Alimentary tract and metabolism
isopropyl myristate,
acesulfame,
Doravirine + tenofovir DF + lamivudine,
UDP-003,
TX000045- Dose A,
isopropyl alcohol,D - Dermatologicals
acepromazine,N - Nervous system
Donepezil hydrochloride tablets,N - Nervous system
UDCA (Ursodeoxycholic acid),A - Alimentary tract and metabolism
TVB-3567,
isoprene,
acebutolol hydrochloride,C - Cardiovascular system
Donepezil drug treatment,N - Nervous system
UCAR T-cell group,
TUDCA (Tauroursodeoxycholic Acid) Supplementation,A - Alimentary tract and metabolism
isoniazid 300 MG,J - Antiinfectives for systemic use
acebutolol,C - Cardiovascular system
Donepezil (Aricept),N - Nervous system
UCAR T-cell,
TUB-030,
isoniazid 100 MG,J - Antiinfectives for systemic use
acarbose 100 MG,A - Alimentary tract and metabolism
Donafenib,
UB-VV410,
TTYP01 Tablets (12mg or,
isoniazid,J - Antiinfectives for systemic use
acarbose,A - Alimentary tract and metabolism
Dolutegravir (DTG),J - Antiinfectives for systemic use
Tzield,A - Alimentary tract and metabolism
TTV DNAemia,
isomalt,
acamprosate,N - Nervous system
Dojolvi,A - Alimentary tract and metabolism
Tyvaso,B - Blood and blood forming organs
TTAX03,
isoleucine,B - Blood and blood forming organs
acalabrutinib 100 MG,L - Antineoplastic and immunomodulating agents
Docetetaxel,L - Antineoplastic and immunomodulating agents
Tysabri,L - Antineoplastic and immunomodulating agents
TT5,
isoflurane,N - Nervous system
acalabrutinib,L - Antineoplastic and immunomodulating agents
"Docetaxel, Cisplatin, Toripalimab",L - Antineoplastic and immunomodulating agents
Tyrosine kinase inhibitor (TKIs),
TT-00420 (tinengotinib),
isoeugenol,
acai oil,
Docetaxel plus cyclophosphamide,L - Antineoplastic and immunomodulating agents
Typically prescribed oral antibiotic prophylaxis,
TS-2021,
isocarboxazid,N - Nervous system
acai extract,
Docetaxel or Paclitaxel,L - Antineoplastic and immunomodulating agents
Typhim VI,J - Antiinfectives for systemic use
TRS005,
isobutylparaben,
abrocitinib 200 MG,D - Dermatologicals
Divozilimab,
Tylenol,N - Nervous system
TRIENTINE TETRAHYDROCHLORIDE,A - Alimentary tract and metabolism
isobutylene,
abrocitinib 100 MG,D - Dermatologicals
Divarasib,
Two-cycle induction chemotherapy + immunotherapy,
TRIAMCINOLONE HEXACETONIDE,S - Sensory organs
TRIAMCINOLONE HEXACETONIDE,D - Dermatologicals
TRIAMCINOLONE HEXACETONIDE,R - Respiratory system
TRIAMCINOLONE HEXACETONIDE,C - Cardiovascular system
TRIAMCINOLONE HEXACETONIDE,A - Alimentary tract and metabolism
TRIAMCINOLONE HEXACETONIDE,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
isobutane,
abrocitinib,D - Dermatologicals
Ditropan,G - Genito urinary system and sex hormones
Turalio,L - Antineoplastic and immunomodulating agents
TRANSFORMING GROWTH FACTOR BETA RECEPTOR TYPE 3,
isoascorbic acid,
abobotulinumtoxinA Injection,M - Musculo-skeletal system
Dispensing Codivir®,J - Antiinfectives for systemic use
Tums,A - Alimentary tract and metabolism
TRAMADOL HYDROCHLORIDE,N - Nervous system
isoamyl acetate,
abobotulinumtoxinA,M - Musculo-skeletal system
Disitamab Vedotin+Tislelizumab+Oxaliplatin+Capecitabine,
Tumor Infiltrating Lymphocytes (TIL),L - Antineoplastic and immunomodulating agents
TR987,
iso-sulfan blue,
abiraterone,L - Antineoplastic and immunomodulating agents
Disitamab Vedotin Injection,
Tulisokibart,
TQH2722 injection,
isavuconazonium sulfate,
abemaciclib 50 MG,L - Antineoplastic and immunomodulating agents
Disease-modifying anti-rheumatic drugs,
Tucidinostat,
TQF3510 (Semaglutide Injection),A - Alimentary tract and metabolism
isavuconazonium,
abemaciclib 200 MG,L - Antineoplastic and immunomodulating agents
Discontinue Tocilizumab,L - Antineoplastic and immunomodulating agents
Tuberculosis window prophylaxis with weekly rifapentine and isoniazid for,J - Antiinfectives for systemic use
TQC2938 injection,
isavuconazole,J - Antiinfectives for systemic use
abemaciclib 150 MG,L - Antineoplastic and immunomodulating agents
DisCoVisc,S - Sensory organs
DisCoVisc,M - Musculo-skeletal system
Tuberculosis (TB) vaccine (Ad5-105K),
TQC2731 injection,
methyl stearate,
benzocaine,S - Sensory organs
benzocaine,D - Dermatologicals
benzocaine,R - Respiratory system
benzocaine,C - Cardiovascular system
benzocaine,A - Alimentary tract and metabolism
benzocaine,N - Nervous system
Biologic Agent,
AmBisome,J - Antiinfectives for systemic use
AmBisome,G - Genito urinary system and sex hormones
AmBisome,A - Alimentary tract and metabolism
5% (5g/100 ml) intravenous immunoglobin,
osilodrostat,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
chlorpromazine hydrochloride,N - Nervous system
Formoterol furmarate (20 μg),R - Respiratory system
methyl salicylate,M - Musculo-skeletal system
benzoate,V - Various
benzoate,D - Dermatologicals
benzoate,N - Nervous system
benzoate,A - Alimentary tract and metabolism
Biodentine,
Alyftrek,R - Respiratory system
40 mg Methylprednisolone,D - Dermatologicals
40 mg Methylprednisolone,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
oseltamivir phosphate,J - Antiinfectives for systemic use
chlorpromazine,N - Nervous system
Foralumab Nasal,
"methyl lactate, L-",
benznidazole,"P - Antiparasitic products, insecticides and repellents"
Biocollection,
Alvesco Inhalant Product,R - Respiratory system
4.5mg daily dose of naltrexone,
oseltamivir carboxylate,
chlorpheniramine maleate,N - Nervous system
chlorpheniramine maleate,R - Respiratory system
Folotyn,L - Antineoplastic and immunomodulating agents
methyl isobutyl ketone,
benzgalantamine,
BioNTech - Pfizer COVID-19 vaccine,J - Antiinfectives for systemic use
Alvedon film-coated tablet,
4-tert-butylcyclohexanol,
oseltamivir 75 MG,J - Antiinfectives for systemic use
chlorpheniramine / dextromethorphan / phenylephrine,R - Respiratory system
chlorpheniramine / dextromethorphan / phenylephrine,S - Sensory organs
chlorpheniramine / dextromethorphan / phenylephrine,C - Cardiovascular system
Following,
methyl cinnamate,
benzethonium chloride,D - Dermatologicals
benzethonium chloride,R - Respiratory system
Bio-C Temp Intracanal Medication,
Aluminum Adjuvant,
4-month regimen (2HERZ/2HRE),L - Antineoplastic and immunomodulating agents
oseltamivir,J - Antiinfectives for systemic use
chlorpheniramine / dextromethorphan,R - Respiratory system
Follow-Up Monitoring Parameters,
methyl benzoate,
benzethonium,D - Dermatologicals
benzethonium,R - Respiratory system
Bimzelx,L - Antineoplastic and immunomodulating agents
Alternaria alternata allergenic extract,V - Various
4-methyl-1-(1-methylethyl)-3-cyclohexen-1-ol,
orthosilicic acid,
chlorpheniramine,N - Nervous system
chlorpheniramine,R - Respiratory system
"Folinic Acid, Fluorouracil and Oxaliplatin/Irinotecan",L - Antineoplastic and immunomodulating agents
methyl anthranilate,
benzenesulfonic acid,
Bimatoprost .03% sterile ophthalmic solution,S - Sensory organs
Alprolix,B - Blood and blood forming organs
4-hydroxycyclophosphamide,
orphenadrine citrate,M - Musculo-skeletal system
chlorphenesin,D - Dermatologicals
Folinic Acid,V - Various
methyl acrylate,
benzalkonium chloride,D - Dermatologicals
benzalkonium chloride,"P - Antiparasitic products, insecticides and repellents"
benzalkonium chloride,R - Respiratory system
Bimagrumab,
Alpibectir,
4-hydroxy acetophenone,
orphenadrine,M - Musculo-skeletal system
orphenadrine,N - Nervous system
chloroxylenol,S - Sensory organs
chloroxylenol,D - Dermatologicals
Fluzoparib with Temozolomide,L - Antineoplastic and immunomodulating agents
methyl 5-aminolevulinate,L - Antineoplastic and immunomodulating agents
benzalkonium,D - Dermatologicals
benzalkonium,"P - Antiparasitic products, insecticides and repellents"
benzalkonium,R - Respiratory system
Bilaxten oral dispersible tablets,
Alphagan,S - Sensory organs
Alphagan,D - Dermatologicals
4-coumaric acid,
ornithine,
chlorothiazide,C - Cardiovascular system
Fluzoparib Monotherapy,
methyclothiazide,C - Cardiovascular system
benzaldehyde,
Bilastine oral dispersible tablets,
Alpaloritovorelli antibodies,
4-aminophenol,
orlistat 60 MG,A - Alimentary tract and metabolism
chloroquine,"P - Antiparasitic products, insecticides and repellents"
Fluzoparib,
methsuximide,N - Nervous system
bentonite,
Biktarvy,J - Antiinfectives for systemic use
Aloevera + dutasteride,G - Genito urinary system and sex hormones
4-aminohippuric acid,V - Various
orlistat,A - Alimentary tract and metabolism
chloroprocaine,S - Sensory organs
chloroprocaine,N - Nervous system
Fluzone Trivalent,
methoxyflurane,N - Nervous system
benralizumab,R - Respiratory system
Bifidobacterium longum,
Almonertinib,
4-aminobenzoic acid,D - Dermatologicals
4-aminobenzoic acid,A - Alimentary tract and metabolism
oritavancin 1200 MG,J - Antiinfectives for systemic use
chlorophyllin copper complex sodium,
Fluticasone/salmeterol,D - Dermatologicals
Fluticasone/salmeterol,R - Respiratory system
methoxy polyethylene glycol-epoetin beta,B - Blood and blood forming organs
benoxinate hydrochloride 4 MG/ML,S - Sensory organs
benoxinate hydrochloride 4 MG/ML,D - Dermatologicals
Bifidobacterium infantis,
Allura red AC dye,
4-MUST,
oritavancin,J - Antiinfectives for systemic use
chlorophyll,
Fluticasone Furoate/Umeclidinium/Vilanterol (FUV),R - Respiratory system
methoxsalen,D - Dermatologicals
benoxinate hydrochloride,S - Sensory organs
benoxinate hydrochloride,D - Dermatologicals
Bifidobacterium bifidum,
Allogenic NK cells infusion,
4-HYDROXYBUTANOIC ACID,
orelabrutinib combined with the Pola-R-CHP regimen,
chloroform,N - Nervous system
Fluphenazine Decanoate,N - Nervous system
methotrexate Injection,L - Antineoplastic and immunomodulating agents
benoxinate,S - Sensory organs
benoxinate,D - Dermatologicals
Bifidobacterium animalis,
Allogeneic hematopoietic stem cell transplantation Stem cell source only Bone Marrow,
4-(p-hydroxyphenyl)-2-butanone,
orelabrutinib combined with rituximab regimen,L - Antineoplastic and immunomodulating agents
chlorocresol,
Flupentixol-Melitracen + Lansoprazole,N - Nervous system
methotrexate 7.5 MG,L - Antineoplastic and immunomodulating agents
bendamustine,L - Antineoplastic and immunomodulating agents
Biejia-Ruangan compound,
Allogeneic dopaminergic neural precursor cell(iDAP),
4% Articaine HCL With,N - Nervous system
oregano oil,
chlorobutanol,A - Alimentary tract and metabolism
Fluoxetine Hydrochloride,N - Nervous system
methotrexate 5 MG,L - Antineoplastic and immunomodulating agents
benazepril,C - Cardiovascular system
Bictegravir (BIC) plus Emtricitabine (FTC) plus Tenofovir Alafenamide (TAF),J - Antiinfectives for systemic use
Allogeneic dopaminergic neural precursor cell(NCR201),
4 mL SunButyrate-TG,L - Antineoplastic and immunomodulating agents
oregano allergenic extract,
chlorine dioxide,
Fluorouracil (5-FU),L - Antineoplastic and immunomodulating agents
methotrexate 2.5 MG,L - Antineoplastic and immunomodulating agents
bempedoic acid 180 MG,C - Cardiovascular system
Bicillin,S - Sensory organs
Bicillin,J - Antiinfectives for systemic use
Allogeneic bone marrow-derived mesenchymal stem cells,
orange pekoe tea allergenic extract,
chlorine,
Fluoroquinolone (either ciprofloxacin or levofloxacin at the discretion of the treating clinician),
methotrexate 15 MG,L - Antineoplastic and immunomodulating agents
bempedoic acid / ezetimibe,C - Cardiovascular system
BiTE-EV,
Allogeneic adipose-derived mesenchymal stem cells (HB-adMSCs) in the OR,
orange peel extract,
chloride ion,
Fluorodopa F,V - Various
methotrexate 10 MG,L - Antineoplastic and immunomodulating agents
bempedoic acid,C - Cardiovascular system
BiCNU,L - Antineoplastic and immunomodulating agents
Allogeneic adipose-derived mesenchymal stem cells (HB-adMSCs) at the doctor's office,
orange oil,
chlorhexidine mouthrinse,S - Sensory organs
chlorhexidine mouthrinse,D - Dermatologicals
chlorhexidine mouthrinse,B - Blood and blood forming organs
chlorhexidine mouthrinse,R - Respiratory system
chlorhexidine mouthrinse,A - Alimentary tract and metabolism
Fluoride Varnish,
methotrexate,L - Antineoplastic and immunomodulating agents
belzutifan,L - Antineoplastic and immunomodulating agents
Beyfortus,J - Antiinfectives for systemic use
Allogeneic TCR-enhanced γδ T cell(QH101),
orange juice,
chlorhexidine gluconate Mouthwash,A - Alimentary tract and metabolism
Fluoride Mouthwash,A - Alimentary tract and metabolism
methohexital,N - Nervous system
belumosudil 200 MG,L - Antineoplastic and immunomodulating agents
Bexsero,
Allogeneic NK Cells,
orange allergenic extract,V - Various
chlorhexidine gluconate,S - Sensory organs
chlorhexidine gluconate,D - Dermatologicals
chlorhexidine gluconate,B - Blood and blood forming organs
chlorhexidine gluconate,R - Respiratory system
chlorhexidine gluconate,A - Alimentary tract and metabolism
Flunixin Meglumine,
methocarbamol,M - Musculo-skeletal system
belumosudil,L - Antineoplastic and immunomodulating agents
Bevifibatide citrate injection,M - Musculo-skeletal system
Allogeneic Human Induced Pluripotent Stem Cell (iPSC)-Derived Motor Neuron Progenitor Cells,
oral steroid-dexamethasone,S - Sensory organs
oral steroid-dexamethasone,D - Dermatologicals
oral steroid-dexamethasone,R - Respiratory system
oral steroid-dexamethasone,C - Cardiovascular system
oral steroid-dexamethasone,A - Alimentary tract and metabolism
oral steroid-dexamethasone,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
chlorhexidine diacetate,S - Sensory organs
chlorhexidine diacetate,D - Dermatologicals
chlorhexidine diacetate,B - Blood and blood forming organs
chlorhexidine diacetate,R - Respiratory system
chlorhexidine diacetate,A - Alimentary tract and metabolism
Fluimucil,
methionine,B - Blood and blood forming organs
methionine,V - Various
methionine,N - Nervous system
"belladonna extract, USP",
Bevacizumab Biosimilar,L - Antineoplastic and immunomodulating agents
Bevacizumab Biosimilar,S - Sensory organs
Allogeneic CAR-T,
oral mini pulse,
chlorhexidine acetate,S - Sensory organs
chlorhexidine acetate,D - Dermatologicals
chlorhexidine acetate,B - Blood and blood forming organs
chlorhexidine acetate,R - Respiratory system
chlorhexidine acetate,A - Alimentary tract and metabolism
Fluid therapy,
methimazole 5 MG,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
belinostat,L - Antineoplastic and immunomodulating agents
Bevacizumab Arterial Perfusion plus TACE,L - Antineoplastic and immunomodulating agents
Bevacizumab Arterial Perfusion plus TACE,S - Sensory organs
Alli,A - Alimentary tract and metabolism
"optimal medical therapy ：aspirin, clopidogrel, statins.",B - Blood and blood forming organs
chlorhexidine Mouthwash,S - Sensory organs
chlorhexidine Mouthwash,D - Dermatologicals
chlorhexidine Mouthwash,B - Blood and blood forming organs
chlorhexidine Mouthwash,R - Respiratory system
chlorhexidine Mouthwash,A - Alimentary tract and metabolism
Fludrocortisone/ Fludrocortisone acetate,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
methimazole 10 MG,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
belimumab,L - Antineoplastic and immunomodulating agents
Bevacizumab,L - Antineoplastic and immunomodulating agents
Bevacizumab,S - Sensory organs
Allergenic Extract Standardized Cat Hair Acetone-Precipitated (AP),
opium tincture,N - Nervous system
opium tincture,A - Alimentary tract and metabolism
chlorhexidine / isopropyl alcohol,S - Sensory organs
chlorhexidine / isopropyl alcohol,D - Dermatologicals
chlorhexidine / isopropyl alcohol,B - Blood and blood forming organs
chlorhexidine / isopropyl alcohol,R - Respiratory system
chlorhexidine / isopropyl alcohol,A - Alimentary tract and metabolism
Fludrocortisone,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
methimazole,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
belatacept,L - Antineoplastic and immunomodulating agents
Betamethasone Dipropionate,S - Sensory organs
Betamethasone Dipropionate,D - Dermatologicals
Betamethasone Dipropionate,R - Respiratory system
Betamethasone Dipropionate,C - Cardiovascular system
Betamethasone Dipropionate,A - Alimentary tract and metabolism
Betamethasone Dipropionate,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Allergen-specific immunotherapy(AIT),
opium,N - Nervous system
opium,A - Alimentary tract and metabolism
chlorhexidine,S - Sensory organs
chlorhexidine,D - Dermatologicals
chlorhexidine,B - Blood and blood forming organs
chlorhexidine,R - Respiratory system
chlorhexidine,A - Alimentary tract and metabolism
Fludarabine Phosphate for Injection,L - Antineoplastic and immunomodulating agents
methenamine,J - Antiinfectives for systemic use
methenamine,G - Genito urinary system and sex hormones
methenamine,N - Nervous system
belantamab mafodotin,L - Antineoplastic and immunomodulating agents
Betahistine Mesylate tablet,N - Nervous system
